"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if file delimiter is invalid","126116","verify that vaccination file will be rejected if file delimiter is invalid","features.batchTests.Steps","Wed Nov 12 15:21:50 UTC 2025","failed","Wed Nov 12 15:23:56 UTC 2025","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if file name format is invalid","20181","verify that vaccination file will be rejected if file name format is invalid","features.batchTests.Steps","Wed Nov 12 15:12:02 UTC 2025","passed","Wed Nov 12 15:12:22 UTC 2025","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if file is empty","128320","verify that vaccination file will be rejected if file is empty","features.batchTests.Steps","Wed Nov 12 15:15:29 UTC 2025","failed","Wed Nov 12 15:17:38 UTC 2025","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if file name format is invalid","22412","verify that vaccination file will be rejected if file name format is invalid","features.batchTests.Steps","Wed Nov 12 15:11:40 UTC 2025","passed","Wed Nov 12 15:12:02 UTC 2025","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if file name format is invalid","20209","verify that vaccination file will be rejected if file name format is invalid","features.batchTests.Steps","Wed Nov 12 15:13:03 UTC 2025","passed","Wed Nov 12 15:13:23 UTC 2025","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if column order is invalid","126255","verify that vaccination file will be rejected if column order is invalid","features.batchTests.Steps","Wed Nov 12 15:19:44 UTC 2025","failed","Wed Nov 12 15:21:50 UTC 2025","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if one of mandatory column is missing","126377","verify that vaccination file will be rejected if one of mandatory column is missing","features.batchTests.Steps","Wed Nov 12 15:17:38 UTC 2025","failed","Wed Nov 12 15:19:44 UTC 2025","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if the processed file is duplicate","125792","verify that vaccination file will be rejected if the processed file is duplicate","features.batchTests.Steps","Wed Nov 12 15:13:23 UTC 2025","failed","Wed Nov 12 15:15:29 UTC 2025","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if file name format is invalid","20277","verify that vaccination file will be rejected if file name format is invalid","features.batchTests.Steps","Wed Nov 12 15:12:22 UTC 2025","passed","Wed Nov 12 15:12:43 UTC 2025","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if file name format is invalid","20473","verify that vaccination file will be rejected if file name format is invalid","features.batchTests.Steps","Wed Nov 12 15:12:43 UTC 2025","passed","Wed Nov 12 15:13:03 UTC 2025","","Validate the file level and columns validations for vaccination batch file","",""
