"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be successful if mandatory field for site, location and unique URI are invalid in batch file","50266","verify that vaccination record will be successful if mandatory field for site, location and unique URI are invalid in batch file","features.batchTests.Steps","Tue Jan 13 11:15:46 UTC 2026","passed","Tue Jan 13 11:16:36 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/delete_batch.feature: Delete immunization event for a patient through batch file","43098","Delete immunization event for a patient through batch file","features.batchTests.Steps","Tue Jan 13 11:19:11 UTC 2026","passed","Tue Jan 13 11:19:54 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/update_batch.feature: Verify that the API vaccination record will be successful updated and batch file will fail upload due to mandatory field missing","45331","Verify that the API vaccination record will be successful updated and batch file will fail upload due to mandatory field missing","features.batchTests.Steps","Tue Jan 13 11:23:40 UTC 2026","passed","Tue Jan 13 11:24:26 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","39764","verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","features.batchTests.Steps","Tue Jan 13 11:15:06 UTC 2026","passed","Tue Jan 13 11:15:46 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if non mandatory fields are missing in batch file","63516","verify that vaccination record will be get successful if non mandatory fields are missing in batch file","features.batchTests.Steps","Tue Jan 13 11:18:08 UTC 2026","passed","Tue Jan 13 11:19:11 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: Verify that full dataset vaccination record will be created through batch file","72439","Verify that full dataset vaccination record will be created through batch file","features.batchTests.Steps","Tue Jan 13 11:07:51 UTC 2026","passed","Tue Jan 13 11:09:03 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if Person nhs number, name and gender is invalid in batch file","39629","verify that vaccination record will be get rejected if Person nhs number, name and gender is invalid in batch file","features.batchTests.Steps","Tue Jan 13 11:12:57 UTC 2026","failed","Tue Jan 13 11:13:37 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","44616","verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","features.batchTests.Steps","Tue Jan 13 11:12:13 UTC 2026","passed","Tue Jan 13 11:12:57 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful with different valid value in gender field","47957","verify that vaccination record will be get successful with different valid value in gender field","features.batchTests.Steps","Tue Jan 13 11:14:18 UTC 2026","passed","Tue Jan 13 11:15:06 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","39488","verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","features.batchTests.Steps","Tue Jan 13 11:17:28 UTC 2026","passed","Tue Jan 13 11:18:08 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if performer is invalid in batch file","41391","verify that vaccination record will be get successful if performer is invalid in batch file","features.batchTests.Steps","Tue Jan 13 11:13:37 UTC 2026","passed","Tue Jan 13 11:14:18 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted by batch file upload","48850","Verify that the API vaccination record will be successful deleted by batch file upload","features.batchTests.Steps","Tue Jan 13 11:19:54 UTC 2026","passed","Tue Jan 13 11:20:43 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if action flag has different cases","51935","verify that vaccination record will be get successful if action flag has different cases","features.batchTests.Steps","Tue Jan 13 11:16:36 UTC 2026","passed","Tue Jan 13 11:17:28 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/update_batch.feature: Verify that the API vaccination record will be successful updated by batch file upload","42394","Verify that the API vaccination record will be successful updated by batch file upload","features.batchTests.Steps","Tue Jan 13 11:22:14 UTC 2026","passed","Tue Jan 13 11:22:56 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: Verify that vaccination record will be get rejected if date_and_time is invalid in batch file","44774","Verify that vaccination record will be get rejected if date and time is invalid in batch file","features.batchTests.Steps","Tue Jan 13 11:10:03 UTC 2026","passed","Tue Jan 13 11:10:48 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if recorded_date is invalid in batch file","44725","verify that vaccination record will be get rejected if recorded date is invalid in batch file","features.batchTests.Steps","Tue Jan 13 11:10:48 UTC 2026","passed","Tue Jan 13 11:11:33 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: Verify that minimum dataset vaccination record will be created through batch file","59936","Verify that minimum dataset vaccination record will be created through batch file","features.batchTests.Steps","Tue Jan 13 11:09:03 UTC 2026","passed","Tue Jan 13 11:10:03 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/update_batch.feature: Verify that the batch vaccination record will be successful updated by API request","44420","Verify that the batch vaccination record will be successful updated by API request","features.batchTests.Steps","Tue Jan 13 11:22:56 UTC 2026","passed","Tue Jan 13 11:23:40 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted and batch file will successful with mandatory field missing","40623","Verify that the API vaccination record will be successful deleted and batch file will successful with mandatory field missing","features.batchTests.Steps","Tue Jan 13 11:20:43 UTC 2026","passed","Tue Jan 13 11:21:24 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/update_batch.feature: Update immunization event for a patient through batch file","49741","Update immunization event for a patient through batch file","features.batchTests.Steps","Tue Jan 13 11:21:24 UTC 2026","passed","Tue Jan 13 11:22:14 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if expiry_date is invalid in batch file","40011","verify that vaccination record will be get rejected if expiry date is invalid in batch file","features.batchTests.Steps","Tue Jan 13 11:11:33 UTC 2026","passed","Tue Jan 13 11:12:13 UTC 2026","","Create the immunization event for a patient through batch file","",""
